route_id,origin_latitude,origin_longitude,dest_latitude,dest_longitude,duration_min,distance,route_type
831,38.70936562349983,-9.153479150125769,38.74529807049948,-9.12652981487604,27.116666666666667,6.449,google
832,38.70936562349983,-9.153479150125769,38.73631495874957,-9.11754670312613,22.516666666666666,6.54,google
834,38.713857179374784,-9.153479150125769,38.74978962637444,-9.12652981487604,26.883333333333333,6.37,google
835,38.713857179374784,-9.153479150125769,38.74080651462452,-9.11754670312613,27.83333333333333,7.823,google
841,38.7228402911247,-9.153479150125769,38.74978962637444,-9.11754670312613,24.53333333333333,6.71,google
854,38.74080651462452,-9.153479150125769,38.78572207337409,-9.153479150125769,29.383333333333333,7.279,google
887,38.78123051749913,-9.153479150125769,38.75428118224939,-9.11754670312613,24.83333333333333,6.604,google
896,38.713857179374784,-9.148987594250814,38.74978962637444,-9.122038259001084,29.73333333333333,7.054,google
903,38.7228402911247,-9.148987594250814,38.74978962637444,-9.113055147251176,21.78333333333333,5.84,google
909,38.73182340287461,-9.148987594250814,38.75877273812435,-9.113055147251176,25.466666666666665,6.709,google
914,38.73631495874957,-9.148987594250814,38.73631495874957,-9.104072035501266,23.48333333333333,7.094,google
924,38.74978962637444,-9.148987594250814,38.713857179374784,-9.122038259001084,20.53333333333333,6.937,google
933,38.75877273812435,-9.148987594250814,38.75877273812435,-9.104072035501266,18.166666666666668,5.063,google
944,38.776738961624176,-9.148987594250814,38.74978962637444,-9.113055147251176,21.816666666666663,6.204,google
952,38.794705185124,-9.148987594250814,38.76775584987426,-9.113055147251176,30.28333333333333,8.526,google
955,38.70936562349983,-9.14449603837586,38.73631495874957,-9.10856359137622,22.666666666666668,5.728,google
980,38.74529807049948,-9.14449603837586,38.74529807049948,-9.099580479626312,15.116666666666667,4.876,google
981,38.74978962637444,-9.14449603837586,38.74978962637444,-9.099580479626312,16.633333333333333,5.202,google
987,38.75877273812435,-9.14449603837586,38.75877273812435,-9.099580479626312,23.65,6.865,google
999,38.78123051749913,-9.14449603837586,38.74529807049948,-9.11754670312613,26.666666666666668,7.217,google
1022,38.73182340287461,-9.140004482500904,38.75877273812435,-9.104072035501266,29.23333333333333,8.134,google
1087,38.70936562349983,-9.131021370750997,38.75428118224939,-9.131021370750997,23.75,5.591,google
1106,38.74978962637444,-9.131021370750997,38.776738961624176,-9.095088923751357,22.35,6.519,google
1114,38.78123051749913,-9.131021370750997,38.74529807049948,-9.104072035501266,21.933333333333334,6.883,google
1116,38.70936562349983,-9.12652981487604,38.75428118224939,-9.12652981487604,33.35,8.113,google
1148,38.73631495874957,-9.122038259001084,38.78123051749913,-9.122038259001084,27.1,6.411,google
1157,38.72733184699965,-9.11754670312613,38.77224740574922,-9.11754670312613,27.966666666666665,6.705,google
