route_id,origin_latitude,origin_longitude,dest_latitude,dest_longitude,duration_min,distance,route_type
28,38.70936562349983,-9.216360932375135,38.74529807049948,-9.189411597125408,24.716666666666665,6.638,google
35,38.71834873524974,-9.216360932375135,38.74529807049948,-9.180428485375495,24.616666666666667,6.147,google
36,38.71834873524974,-9.216360932375135,38.71834873524974,-9.171445373625588,40.03333333333333,10.339,google
42,38.70487406762487,-9.21186937650018,38.74080651462452,-9.184920041250452,28.066666666666663,6.852,google
48,38.713857179374784,-9.21186937650018,38.74978962637444,-9.184920041250452,23.98333333333333,6.72,google
76,38.72733184699965,-9.207377820625226,38.763264293999306,-9.180428485375495,23.3,5.714,google
79,38.72733184699965,-9.207377820625226,38.72733184699965,-9.162462261875678,30.816666666666663,7.374,google
81,38.73182340287461,-9.207377820625226,38.70487406762487,-9.171445373625588,29.216666666666665,8.723,google
91,38.74978962637444,-9.207377820625226,38.74978962637444,-9.162462261875678,19.416666666666668,4.911,google
95,38.75428118224939,-9.207377820625226,38.75428118224939,-9.162462261875678,20.866666666666667,5.555,google
100,38.70038251174992,-9.202886264750273,38.73631495874957,-9.175936929500542,35.2,8.161,google
102,38.70487406762487,-9.202886264750273,38.74978962637444,-9.202886264750273,29.933333333333334,7.535,google
121,38.72733184699965,-9.202886264750273,38.75428118224939,-9.166953817750631,27.516666666666666,8.435,google
127,38.73631495874957,-9.202886264750273,38.70038251174992,-9.175936929500542,24.15,8.0,google
136,38.74080651462452,-9.202886264750273,38.74080651462452,-9.157970706000723,18.85,5.623,google
149,38.69589095587496,-9.198394708875316,38.74080651462452,-9.198394708875316,31.35,6.84,google
160,38.70936562349983,-9.198394708875316,38.73631495874957,-9.162462261875678,31.25,9.109,google
191,38.74529807049948,-9.198394708875316,38.78123051749913,-9.171445373625588,19.95,5.741,google
196,38.74978962637444,-9.198394708875316,38.7228402911247,-9.162462261875678,28.316666666666663,6.773,google
201,38.75428118224939,-9.198394708875316,38.78123051749913,-9.162462261875678,25.4,6.416,google
203,38.75877273812435,-9.198394708875316,38.7228402911247,-9.171445373625588,26.8,7.091,google
205,38.75877273812435,-9.198394708875316,38.78572207337409,-9.162462261875678,29.383333333333333,7.35,google
229,38.71834873524974,-9.19390315300036,38.74529807049948,-9.157970706000723,28.766666666666666,6.609,google
237,38.72733184699965,-9.19390315300036,38.72733184699965,-9.148987594250814,25.23333333333333,6.051,google
245,38.73631495874957,-9.19390315300036,38.763264293999306,-9.157970706000723,26.683333333333334,6.639,google
249,38.74080651462452,-9.19390315300036,38.713857179374784,-9.157970706000723,28.933333333333334,6.906,google
260,38.74978962637444,-9.19390315300036,38.776738961624176,-9.157970706000723,24.05,6.488,google
268,38.75877273812435,-9.19390315300036,38.78572207337409,-9.157970706000723,24.28333333333333,5.95,google
275,38.76775584987426,-9.19390315300036,38.74080651462452,-9.157970706000723,19.2,5.482,google
281,38.70487406762487,-9.189411597125408,38.74080651462452,-9.162462261875678,28.7,7.197,google
289,38.713857179374784,-9.189411597125408,38.74080651462452,-9.153479150125769,29.53333333333333,7.427,google
332,38.75877273812435,-9.189411597125408,38.75877273812435,-9.14449603837586,19.25,5.076,google
371,38.73182340287461,-9.184920041250452,38.73182340287461,-9.140004482500904,20.633333333333333,5.228,google
404,38.76775584987426,-9.184920041250452,38.73182340287461,-9.157970706000723,30.016666666666666,7.262,google
444,38.73631495874957,-9.180428485375495,38.73631495874957,-9.13551292662595,20.58333333333333,5.584,google
447,38.74080651462452,-9.180428485375495,38.76775584987426,-9.14449603837586,29.78333333333333,7.54,google
460,38.75428118224939,-9.180428485375495,38.790213629249045,-9.153479150125769,23.28333333333333,6.168,google
464,38.75877273812435,-9.180428485375495,38.7228402911247,-9.153479150125769,27.466666666666665,7.35,google
